time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_MagnitudeControlledByAVRPu;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_ActivePowerSetpointPu;Bess_GEN_ReactivePowerSetpointPu;Bess_GEN_VoltageSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.000e+00;6.667e-01;1.076e-08;6.667e-01;-1.956e-10;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;-4.760e-09;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.000e+01;5.000e+01
0.000001000;1.000e+00;6.667e-01;1.073e-08;6.667e-01;-2.701e-10;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;-4.792e-09;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.000e+01;5.000e+01
20.002020000;1.000e+00;6.667e-01;-1.711e-09;6.667e-01;2.798e-09;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;-7.969e-10;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.000e+01;5.000e+01
20.003020000;1.000e+00;6.667e-01;-1.770e-09;6.667e-01;2.916e-09;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;-6.100e-10;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.001e+01;5.001e+01
20.007020000;1.000e+00;6.667e-01;-2.192e-09;6.667e-01;3.278e-09;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;1.756e-10;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.001e+01;5.001e+01
20.008020000;1.000e+00;6.667e-01;-2.342e-09;6.667e-01;3.346e-09;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;3.784e-10;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.002e+01;5.002e+01
20.012020000;1.000e+00;6.667e-01;-3.026e-09;6.667e-01;3.508e-09;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;1.185e-09;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.002e+01;5.002e+01
20.013020000;1.000e+00;6.667e-01;-3.200e-09;6.667e-01;3.506e-09;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;1.378e-09;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.003e+01;5.003e+01
20.017020000;1.000e+00;6.667e-01;-3.858e-09;6.667e-01;3.275e-09;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;2.085e-09;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.003e+01;5.003e+01
20.018020000;1.000e+00;6.667e-01;-4.009e-09;6.667e-01;3.158e-09;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;2.242e-09;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.004e+01;5.004e+01
20.022020000;1.000e+00;6.667e-01;-4.538e-09;6.667e-01;2.520e-09;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;2.780e-09;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.004e+01;5.004e+01
20.023020000;1.000e+00;6.667e-01;-4.653e-09;6.667e-01;2.341e-09;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;2.899e-09;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.005e+01;5.005e+01
20.027029000;1.000e+00;6.667e-01;-4.536e-09;6.667e-01;-7.470e-10;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;4.469e-09;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.005e+01;5.005e+01
20.028029000;1.000e+00;6.667e-01;-4.370e-09;6.667e-01;-1.037e-09;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;4.612e-09;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.006e+01;5.006e+01
20.032029000;1.000e+00;6.667e-01;-3.516e-09;6.667e-01;-2.178e-09;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;5.226e-09;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.006e+01;5.006e+01
20.033029000;1.000e+00;6.667e-01;-3.265e-09;6.667e-01;-2.447e-09;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;5.388e-09;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.007e+01;5.007e+01
20.037029000;1.000e+00;6.667e-01;-2.199e-09;6.667e-01;-3.433e-09;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;6.033e-09;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.007e+01;5.007e+01
20.038029000;1.000e+00;6.667e-01;-1.934e-09;6.667e-01;-3.661e-09;1.000e+00;1.013e+00;6.818e-01;4.716e-02;1.000e+00;4.000e-01;6.173e-09;1.000e+01;6.667e-01;0.000e+00;1.000e+00;5.008e+01;5.008e+01
