time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;SyncCompensator_GEN_TSO_FrequencyHz;SyncCompensator_GEN_TSO_ActivePower;SyncCompensator_GEN_TSO_ReactivePower;Main_load_LOAD_TSO_ActivePower;Main_load_LOAD_TSO_ReactivePower;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;SyncCompensator_GEN_FrequencyHz;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;9.916e-01;6.141e-01;-1.598e-01;6.193e-01;-1.611e-01;9.436e-01;9.896e-01;6.377e-01;-1.202e-01;5.000e+01;5.255e-02;1.692e-01;6.667e-01;-3.569e-09;9.916e-01;5.527e-01;-1.438e-01;1.000e+01;5.000e+01;6.667e-01;1.044e+00;1.044e+00;5.000e+01;5.000e+01
0.004159000;1.012e+00;6.426e-01;-9.880e-02;6.346e-01;-9.758e-02;9.828e-01;1.016e+00;6.494e-01;-5.662e-02;5.000e+01;2.410e-02;1.021e-01;6.667e-01;-5.103e-09;1.012e+00;5.783e-01;-8.892e-02;1.000e+01;5.000e+01;6.667e-01;1.044e+00;1.044e+00;4.999e+01;4.999e+01
0.004223000;1.013e+00;6.431e-01;-9.760e-02;6.349e-01;-9.636e-02;9.836e-01;1.017e+00;6.496e-01;-5.540e-02;4.999e+01;2.358e-02;1.008e-01;6.667e-01;-4.977e-09;1.013e+00;5.788e-01;-8.784e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;4.999e+01;4.999e+01
0.004415000;1.014e+00;6.446e-01;-9.400e-02;6.357e-01;-9.269e-02;9.859e-01;1.018e+00;6.501e-01;-5.174e-02;4.999e+01;2.203e-02;9.696e-02;6.667e-01;-4.595e-09;1.014e+00;5.802e-01;-8.460e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;4.999e+01;4.999e+01
0.006574000;1.027e+00;6.607e-01;-5.429e-02;6.432e-01;-5.286e-02;1.011e+00;1.035e+00;6.555e-01;-1.212e-02;4.999e+01;6.004e-03;5.522e-02;6.667e-01;-3.248e-09;1.027e+00;5.946e-01;-4.886e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;5.002e+01;5.002e+01
0.006920000;1.029e+00;6.629e-01;-4.847e-02;6.442e-01;-4.710e-02;1.014e+00;1.037e+00;6.561e-01;-6.407e-03;4.999e+01;3.808e-03;4.920e-02;6.667e-01;-3.460e-09;1.029e+00;5.966e-01;-4.362e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;5.003e+01;5.003e+01
0.008196000;1.035e+00;6.701e-01;-2.860e-02;6.471e-01;-2.762e-02;1.027e+00;1.045e+00;6.580e-01;1.291e-02;4.999e+01;-3.383e-03;2.885e-02;6.667e-01;-5.523e-09;1.035e+00;6.030e-01;-2.574e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;5.005e+01;5.005e+01
0.008198000;1.035e+00;6.701e-01;-2.857e-02;6.471e-01;-2.759e-02;1.027e+00;1.045e+00;6.580e-01;1.294e-02;4.999e+01;-3.393e-03;2.882e-02;6.667e-01;-5.390e-09;1.035e+00;6.031e-01;-2.571e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;5.005e+01;5.005e+01
0.008226000;1.036e+00;6.702e-01;-2.816e-02;6.472e-01;-2.719e-02;1.027e+00;1.045e+00;6.581e-01;1.333e-02;4.999e+01;-3.536e-03;2.841e-02;6.667e-01;-4.935e-09;1.036e+00;6.032e-01;-2.534e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;5.005e+01;5.005e+01
0.008450000;1.037e+00;6.713e-01;-2.495e-02;6.476e-01;-2.407e-02;1.029e+00;1.047e+00;6.583e-01;1.643e-02;4.999e+01;-4.648e-03;2.514e-02;6.667e-01;-4.137e-09;1.037e+00;6.042e-01;-2.245e-02;1.000e+01;4.999e+01;6.667e-01;1.044e+00;1.044e+00;5.006e+01;5.006e+01
