time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine1_GEN_MagnitudeControlledByAVRPu;Wind_Turbine2_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr1_XFMR_Tap;StepUp_Xfmr2_XFMR_Tap;Wind_Turbine1_GEN_InjectedActiveCurrent;Wind_Turbine1_GEN_InjectedReactiveCurrent;Wind_Turbine1_GEN_AVRSetpointPu;Wind_Turbine1_GEN_NetworkFrequencyPu;Wind_Turbine2_GEN_InjectedActiveCurrent;Wind_Turbine2_GEN_InjectedReactiveCurrent;Wind_Turbine2_GEN_AVRSetpointPu;Wind_Turbine2_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;4.167e-01;-5.816e-07;3.989e-01;-5.473e-07;1.047e+00;1.047e+00;1.044e+00;7.500e-01;-9.771e-07;1.000e+01;1.000e+01;4.042e-01;-6.511e-03;1.047e+00;5.000e+01;4.042e-01;-6.511e-03;1.047e+00;5.000e+01;5.000e+01
0.022328000;1.044e+00;4.162e-01;1.657e-06;3.985e-01;1.633e-06;1.047e+00;1.047e+00;1.044e+00;7.491e-01;2.942e-06;1.000e+01;1.000e+01;4.037e-01;-6.511e-03;1.047e+00;5.000e+01;4.037e-01;-6.511e-03;1.047e+00;5.000e+01;5.000e+01
0.023328000;1.044e+00;4.161e-01;2.769e-06;3.984e-01;2.697e-06;1.047e+00;1.047e+00;1.044e+00;7.490e-01;4.941e-06;1.000e+01;1.000e+01;4.037e-01;-6.511e-03;1.047e+00;5.000e+01;4.037e-01;-6.511e-03;1.047e+00;5.000e+01;5.000e+01
0.025328000;1.044e+00;4.160e-01;3.881e-06;3.983e-01;3.760e-06;1.047e+00;1.047e+00;1.044e+00;7.488e-01;6.939e-06;1.000e+01;1.000e+01;4.035e-01;-6.511e-03;1.047e+00;5.000e+01;4.035e-01;-6.511e-03;1.047e+00;5.000e+01;5.000e+01
0.026328000;1.044e+00;4.159e-01;4.437e-06;3.982e-01;4.291e-06;1.047e+00;1.047e+00;1.044e+00;7.486e-01;7.939e-06;1.000e+01;1.000e+01;4.035e-01;-6.511e-03;1.047e+00;5.000e+01;4.035e-01;-6.511e-03;1.047e+00;5.000e+01;5.000e+01
0.032328000;1.044e+00;4.154e-01;9.441e-06;3.977e-01;9.073e-06;1.047e+00;1.047e+00;1.044e+00;7.477e-01;1.694e-05;1.000e+01;1.000e+01;4.030e-01;-6.508e-03;1.047e+00;5.000e+01;4.030e-01;-6.508e-03;1.047e+00;5.000e+01;5.000e+01
0.033328000;1.045e+00;4.153e-01;1.056e-05;3.976e-01;1.014e-05;1.047e+00;1.047e+00;1.045e+00;7.475e-01;1.894e-05;1.000e+01;1.000e+01;4.029e-01;-6.508e-03;1.047e+00;4.999e+01;4.029e-01;-6.508e-03;1.047e+00;4.999e+01;4.999e+01
0.035328000;1.045e+00;4.151e-01;1.222e-05;3.974e-01;1.173e-05;1.047e+00;1.047e+00;1.045e+00;7.471e-01;2.194e-05;1.000e+01;1.000e+01;4.027e-01;-6.507e-03;1.047e+00;4.999e+01;4.027e-01;-6.507e-03;1.047e+00;4.999e+01;4.999e+01
0.044328000;1.045e+00;4.139e-01;2.112e-05;3.963e-01;2.022e-05;1.047e+00;1.047e+00;1.045e+00;7.451e-01;3.795e-05;1.000e+01;1.000e+01;4.016e-01;-6.497e-03;1.047e+00;4.999e+01;4.016e-01;-6.497e-03;1.047e+00;4.999e+01;4.999e+01
0.046328000;1.045e+00;4.137e-01;2.334e-05;3.960e-01;2.235e-05;1.047e+00;1.047e+00;1.045e+00;7.446e-01;4.195e-05;1.000e+01;1.000e+01;4.013e-01;-6.495e-03;1.047e+00;4.999e+01;4.013e-01;-6.495e-03;1.047e+00;4.999e+01;4.999e+01
0.047328000;1.045e+00;4.135e-01;2.391e-05;3.959e-01;2.288e-05;1.047e+00;1.047e+00;1.045e+00;7.443e-01;4.296e-05;1.000e+01;1.000e+01;4.011e-01;-6.493e-03;1.047e+00;4.999e+01;4.011e-01;-6.493e-03;1.047e+00;4.999e+01;4.999e+01
