time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;InfiniteBus_BUS_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.295e-01;5.338e-02;7.942e-01;5.111e-02;1.060e+00;1.064e+00;7.996e-01;1.071e-01;1.044e+00;7.465e-01;4.804e-02;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.001155000;1.044e+00;8.334e-01;1.177e-01;7.979e-01;1.127e-01;1.080e+00;1.069e+00;7.996e-01;1.680e-01;1.044e+00;7.500e-01;1.059e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.001283000;1.044e+00;8.337e-01;1.236e-01;7.983e-01;1.184e-01;1.082e+00;1.069e+00;7.996e-01;1.737e-01;1.044e+00;7.504e-01;1.113e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.001510000;1.044e+00;8.344e-01;1.337e-01;7.989e-01;1.280e-01;1.085e+00;1.070e+00;7.997e-01;1.833e-01;1.044e+00;7.510e-01;1.203e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.001538000;1.044e+00;8.345e-01;1.349e-01;7.990e-01;1.292e-01;1.085e+00;1.070e+00;7.997e-01;1.844e-01;1.044e+00;7.510e-01;1.214e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.001941000;1.044e+00;8.356e-01;1.513e-01;8.000e-01;1.449e-01;1.090e+00;1.072e+00;7.998e-01;2.000e-01;1.044e+00;7.520e-01;1.362e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.002171000;1.044e+00;8.362e-01;1.599e-01;8.006e-01;1.531e-01;1.092e+00;1.072e+00;7.999e-01;2.081e-01;1.044e+00;7.525e-01;1.439e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.002286000;1.044e+00;8.364e-01;1.640e-01;8.009e-01;1.570e-01;1.094e+00;1.073e+00;8.000e-01;2.120e-01;1.044e+00;7.528e-01;1.476e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.002547000;1.044e+00;8.371e-01;1.728e-01;8.015e-01;1.655e-01;1.096e+00;1.073e+00;8.001e-01;2.204e-01;1.044e+00;7.534e-01;1.555e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
0.002675000;1.044e+00;8.374e-01;1.769e-01;8.017e-01;1.694e-01;1.098e+00;1.074e+00;8.001e-01;2.243e-01;1.044e+00;7.536e-01;1.592e-01;1.000e+01;8.333e-01;4.705e-01;1.178e+00;5.000e+01;5.000e+01
